ID,locality,zipcode,Building condition,Price,Kitchen type,Living area,Furnished,Surface of the plot,Number of frontages,Swimming pool,Bedrooms,Garden,Garden surface,Terrace,Terrace surface,Type of property
10307305,jette,1090,Just reFalsevated,575000,USA hyper equipped,290 m² square meters,FALSE,197 m² square meters,2,FALSE,6,TRUE,60 m² square meters,TRUE,40 m² square meters,House
10306370,dilbeek,1700,Good,649000,USA hyper equipped,243 m² square meters,FALSE,1000 m² square meters,3,TRUE,4,FALSE,0,TRUE,0,House
10315367,braine-lalleud,1420,Good,290000,Installed,76 m² square meters,FALSE,120 m² square meters,2,FALSE,3,TRUE,32 m² square meters,TRUE,16 m² square meters,House
10323471,vilvorde-koningslo,1800,As new,419000,Installed,180 m² square meters,FALSE,216 m² square meters,2,FALSE,5,TRUE,110 m² square meters,TRUE,18 m² square meters,House
10321200,ixelles,1050,To reFalsevate,575000,FALSE,225 m² square meters,FALSE,118 m² square meters,2,FALSE,4,TRUE,35 m² square meters,TRUE,0,House
10328445,lierde,9570,To reFalsevate,179000,Semi equipped,150 m² square meters,FALSE,226 m² square meters,2,FALSE,3,FALSE,0,FALSE,0,House
10326898,bruxelles,1000,As new,810000,Installed,365 m² square meters,FALSE,150 m² square meters,2,FALSE,4,FALSE,0,FALSE,0,Mansion
10327357,duffel,2570,To be done up,880000,Installed,447 m² square meters,FALSE,900 m² square meters,4,FALSE,5,TRUE,0,TRUE,0,House
10304760,deinze,9800,NaN,0,FALSE,0,FALSE,0,0,FALSE,0,FALSE,0,FALSE,0,House
10328123,bruxelles,1000,To be done up,595000,FALSE,250 m² square meters,TRUE,56 m² square meters,2,FALSE,8,FALSE,0,TRUE,10 m² square meters,House
10312897,liege-grivegnee,4030,To be done up,125000,Installed,70 m² square meters,FALSE,49 m² square meters,2,FALSE,2,FALSE,0,FALSE,0,House
10312898,trooz,4870,To reFalsevate,195000,Installed,125 m² square meters,FALSE,401 m² square meters,4,FALSE,4,TRUE,400 m² square meters,FALSE,0,House
10277075,antwerp,2060,To be done up,310000,Semi equipped,218 m² square meters,FALSE,88 m² square meters,2,FALSE,0,FALSE,0,TRUE,15 m² square meters,Apartment
10330639,mol,2400,Good,650000,Installed,350 m² square meters,FALSE,2375 m² square meters,4,TRUE,4,TRUE,1800 m² square meters,TRUE,85 m² square meters,Mansion
10330628,betekom,3130,To reFalsevate,299000,Semi equipped,200 m² square meters,FALSE,1660 m² square meters,4,FALSE,3,TRUE,0,FALSE,0,House
10330625,soignies-casteau,7061,As new,299000,USA semi equipped,177 m² square meters,FALSE,280 m² square meters,2,FALSE,3,TRUE,180 m² square meters,TRUE,15 m² square meters,House
10330623,bruxelles,1120,Good,675000,Installed,265 m² square meters,FALSE,444 m² square meters,2,FALSE,7,TRUE,250 m² square meters,TRUE,20 m² square meters,House
10173768,ixelles,1050,NaN,650000,Installed,140 m² square meters,FALSE,0,0,FALSE,3,FALSE,0,TRUE,25 m² square meters,House
10330617,mons,7000,To be done up,249000,USA hyper equipped,117 m² square meters,FALSE,0,2,FALSE,2,FALSE,0,TRUE,15 m² square meters,House
10330610,lembeek,1502,NaN,595000,FALSE,340 m² square meters,FALSE,1216 m² square meters,4,FALSE,4,FALSE,0,FALSE,0,House
10239196,waterloo,1410,As new,770000,USA hyper equipped,231 m² square meters,FALSE,601 m² square meters,4,FALSE,4,TRUE,601 m² square meters,TRUE,0,House
10315919,zemst-eppegem,1980,Good,649000,Installed,212 m² square meters,FALSE,1100 m² square meters,4,FALSE,4,TRUE,954 m² square meters,TRUE,31 m² square meters,Mansion
10318567,woluwe-saint-lambert,1200,To reFalsevate,745000,Falset installed,221 m² square meters,FALSE,260 m² square meters,2,FALSE,4,TRUE,139 m² square meters,TRUE,14 m² square meters,House
10319156,waterloo,1410,To be done up,745000,Hyper equipped,374 m² square meters,FALSE,914 m² square meters,4,FALSE,5,TRUE,0,FALSE,0,Mansion
10319147,braine-lalleud,1420,To be done up,745000,Hyper equipped,374 m² square meters,FALSE,914 m² square meters,4,FALSE,5,TRUE,0,TRUE,0,Mansion
10319084,duinbergen-(kFalsekke-heist),8301,As new,885000,USA hyper equipped,180 m² square meters,TRUE,94 m² square meters,2,FALSE,4,FALSE,0,TRUE,30 m² square meters,Apartment
10123026,uccle,1180,As new,1075000,Hyper equipped,325 m² square meters,TRUE,150 m² square meters,2,FALSE,4,TRUE,60 m² square meters,TRUE,20 m² square meters,House
10259354,flemalle,4400,To be done up,270000,Installed,144 m² square meters,FALSE,399 m² square meters,4,FALSE,4,TRUE,291 m² square meters,TRUE,0,House
10312870,fontaine-leveque,6142,As new,275000,USA hyper equipped,180 m² square meters,FALSE,195 m² square meters,3,FALSE,3,TRUE,80 m² square meters,TRUE,20 m² square meters,House
10324705,lincent,4287,Good,345000,Installed,160 m² square meters,FALSE,1076 m² square meters,4,FALSE,5,TRUE,0,TRUE,0,House
10324184,roosdaal,1760,Good,840000,Hyper equipped,338 m² square meters,FALSE,5502 m² square meters,4,FALSE,5,FALSE,0,TRUE,0,Mansion
10310884,waremme,4300,Good,249000,Installed,144 m² square meters,FALSE,600 m² square meters,3,FALSE,2,TRUE,380 m² square meters,TRUE,22 m² square meters,House
10312272,schaerbeek,1030,Good,349000,Installed,130 m² square meters,FALSE,50 m² square meters,2,FALSE,3,FALSE,0,FALSE,0,House
10311014,gavere,9890,Good,658500,USA hyper equipped,200 m² square meters,FALSE,620 m² square meters,4,FALSE,4,TRUE,400 m² square meters,TRUE,50 m² square meters,House
10329836,keerbergen,3140,As new,889000,Hyper equipped,280 m² square meters,FALSE,800 m² square meters,4,FALSE,4,TRUE,500 m² square meters,TRUE,70 m² square meters,Mansion
10317830,waregem,8793,Good,325000,Installed,140 m² square meters,FALSE,180 m² square meters,3,FALSE,3,FALSE,0,FALSE,0,Mansion
10317828,waregem,8793,Good,325000,Installed,140 m² square meters,FALSE,180 m² square meters,3,FALSE,3,FALSE,0,FALSE,0,House
10317827,waregem,8793,Good,325000,Installed,140 m² square meters,FALSE,180 m² square meters,3,FALSE,3,FALSE,0,FALSE,0,House
10321235,remicourt,4350,As new,0,Hyper equipped,137 m² square meters,FALSE,832 m² square meters,3,TRUE,4,TRUE,372 m² square meters,TRUE,20 m² square meters,House
10312019,charleroi,6000,As new,275000,USA hyper equipped,180 m² square meters,FALSE,195 m² square meters,3,FALSE,3,TRUE,80 m² square meters,TRUE,20 m² square meters,House
10323184,moen,8552,Just reFalsevated,398000,Installed,200 m² square meters,FALSE,253 m² square meters,0,FALSE,5,FALSE,0,TRUE,0,House
10323180,moen,8552,Just reFalsevated,398000,Installed,200 m² square meters,FALSE,253 m² square meters,0,FALSE,5,FALSE,0,TRUE,0,House
10323310,sint-job-in-t-goor,2960,To be done up,825000,Installed,505 m² square meters,FALSE,1841 m² square meters,4,FALSE,6,TRUE,1460 m² square meters,TRUE,62 m² square meters,Mansion
